EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"14/01/2026 17:24:03"
ModelName,Ecoapth_Baie_de_Seine
EcosimScenario,Ecosim_avril_2017
TimeSeries,(none)
StartYear,2000
EcospaceScenario,"Ecospace BSE"
MapRows,70
MapCols,101
MapCellLength,1.666994
MapCellSize,0.015
MapLatitude,50.3
MapLongitude,-1.3
NoActiveCells,4907
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
Variable,EcospaceMapBiomass
Group name,"Fish limande "

Step,1
Year,0,08333334
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871492385864,0.249871492385864,0.249871507287025,0.249871537089348,0.24987156689167,0.249871551990509,0.249871537089348,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871507287025,0.249871492385864,0.249871402978897,0.249871298670769,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871358275414,0.249871417880058,0.249871462583542,0.249871477484703,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,0.249871492385864,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871507287025,0.249871477484703,0.249871507287025,0.249871522188187,0.249871522188187,0.249871537089348,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871462583542,0.249871373176575,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871283769608,0.249871358275414,0.249871432781219,0.249871477484703,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871492385864,0.249871477484703,0.249871462583542,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871477484703,0.249871492385864,0.249871507287025,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871492385864,0.249871492385864,0.249871477484703,0.249871462583542,0.249871507287025,0.249871522188187,0.249871522188187,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871462583542,0.249871388077736,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871283769608,0.249871388077736,0.249871492385864,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871581792831,0.249871641397476,0.249871537089348,0.249871522188187,0.249871537089348,0.249871537089348,0.249871507287025,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871492385864,0.249871402978897,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871388077736,0.249871492385864,0.249871537089348,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.249871626496315,0.249871730804443,0.249871611595154,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871522188187,0.249871402978897,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871373176575,0.249871462583542,0.249871507287025,0.249871537089348,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871537089348,0.24987156689167,0.24987168610096,0.24987156689167,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871462583542,0.249871373176575,0.249871298670769,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871388077736,0.249871477484703,0.249871522188187,0.249871537089348,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871522188187,0.249871551990509,0.249871596693993,0.24987168610096,0.249871581792831,0.249871551990509,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871507287025,0.249871462583542,0.249871373176575,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871298670769,0.249871388077736,0.249871492385864,0.249871537089348,0.249871551990509,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871551990509,0.249871611595154,0.249871701002121,0.249871596693993,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871492385864,0.249871388077736,0.249871283769608,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871328473091,0.249871432781219,0.249871522188187,0.249871551990509,0.249871537089348,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.249871596693993,0.249871626496315,0.249871730804443,0.249871641397476,0.249871596693993,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871551990509,0.249871507287025,0.249871432781219,0.24987131357193,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871388077736,0.249871462583542,0.249871462583542,0.249871522188187,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871551990509,0.249871611595154,0.249871715903282,0.249871596693993,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871522188187,0.249871462583542,0.249871388077736,0.24987131357193,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871388077736,0.249871462583542,0.249871522188187,0.249871551990509,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.249871611595154,0.249871715903282,0.249871611595154,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871551990509,0.249871492385864,0.249871388077736,0.249871298670769,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871432781219,0.249871507287025,0.249871551990509,0.249871551990509,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871581792831,0.249871611595154,0.249871715903282,0.249871611595154,0.24987156689167,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871492385864,0.249871402978897,0.24987131357193,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.24987131357193,0.249871432781219,0.249871522188187,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871581792831,0.249871611595154,0.249871730804443,0.249871611595154,0.249871581792831,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.24987156689167,0.249871507287025,0.249871417880058,0.24987131357193,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,0.249871298670769,0.249871388077736,0.249871492385864,0.249871537089348,0.249871551990509,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871551990509,0.249871581792831,0.249871701002121,0.249871581792831,0.249871551990509,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871537089348,0.249871522188187,0.249871507287025,0.249871507287025,0.249871492385864,0.249871388077736,0.249871298670769,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30
